station,valid,lon,lat,tmpf,dwpf,drct,sped,p01m,vsby,gust_mph
I67,1/1/2018 0:15,-84.7743,39.2589,12.2,5,0,0,0,7,null
I67,1/1/2018 0:35,-84.7743,39.2589,12.2,5,0,0,0,10,null
I67,1/1/2018 0:55,-84.7743,39.2589,12.2,5,0,0,0,10,null
I67,1/1/2018 1:15,-84.7743,39.2589,10.4,5,0,0,0,10,null
I67,1/1/2018 1:35,-84.7743,39.2589,10.4,5,0,0,0,10,null
I67,1/1/2018 1:55,-84.7743,39.2589,10.4,3.2,0,0,0,10,null
I67,1/1/2018 2:15,-84.7743,39.2589,8.6,3.2,0,0,0,10,null
I67,1/1/2018 2:35,-84.7743,39.2589,8.6,3.2,0,0,0,10,null
I67,1/1/2018 2:55,-84.7743,39.2589,6.8,3.2,0,0,0,10,null
I67,1/1/2018 3:15,-84.7743,39.2589,6.8,3.2,0,0,0,10,null
I67,1/1/2018 3:35,-84.7743,39.2589,5,1.4,0,0,0,10,null
I67,1/1/2018 3:55,-84.7743,39.2589,5,3.2,0,0,0,10,null
I67,1/1/2018 4:15,-84.7743,39.2589,5,1.4,0,0,0,10,null
I67,1/1/2018 4:35,-84.7743,39.2589,5,1.4,0,0,0,10,null
I67,1/1/2018 4:55,-84.7743,39.2589,5,1.4,0,0,0,10,null
I67,1/1/2018 5:15,-84.7743,39.2589,5,-0.4,0,0,0,10,null
I67,1/1/2018 5:35,-84.7743,39.2589,5,-0.4,0,0,0,10,null
I67,1/1/2018 5:55,-84.7743,39.2589,3.2,-0.4,0,0,0,10,null
I67,1/1/2018 6:15,-84.7743,39.2589,3.2,-0.4,0,0,0,10,null
I67,1/1/2018 6:35,-84.7743,39.2589,3.2,-2.2,0,0,0,10,null
I67,1/1/2018 6:55,-84.7743,39.2589,3.2,-2.2,0,0,0,10,null
I67,1/1/2018 7:15,-84.7743,39.2589,3.2,-2.2,290,3.45,0,10,null
I67,1/1/2018 7:35,-84.7743,39.2589,3.2,-4,290,3.45,0,10,null
I67,1/1/2018 7:55,-84.7743,39.2589,3.2,-4,0,0,0,10,null
I67,1/1/2018 8:15,-84.7743,39.2589,1.4,-4,0,0,0,10,null
I67,1/1/2018 8:35,-84.7743,39.2589,1.4,-4,0,0,0,10,null
I67,1/1/2018 8:55,-84.7743,39.2589,1.4,-4,0,0,0,10,null
I67,1/1/2018 9:15,-84.7743,39.2589,1.4,-4,0,0,0,10,null
I67,1/1/2018 9:35,-84.7743,39.2589,1.4,-4,0,0,0,10,null
I67,1/1/2018 9:55,-84.7743,39.2589,1.4,-4,0,0,0,10,null
I67,1/1/2018 10:15,-84.7743,39.2589,1.4,-4,0,0,0,10,null
I67,1/1/2018 10:35,-84.7743,39.2589,1.4,-4,0,0,0,10,null
